vers,block,blocktype,trainspkr,testspkr,spkr,pause,soundfile
1,1,critical,mark,kate,diff,filled,6umE
1,2,critical,mark,kate,diff,filled,12umE
1,3,critical,mark,kate,diff,filled,18umE
1,4,critical,kate,kate,same,filled,24umE
1,5,critical,kate,kate,same,filled,30umE
1,6,critical,mark,kate,diff,baseline,36umB
1,7,critical,mark,kate,diff,baseline,42umB
1,8,critical,mark,kate,diff,baseline,48umB
1,9,critical,kate,kate,same,baseline,54umB
1,10,critical,kate,kate,same,baseline,60umB
1,11,critical,kate,kate,same,filled,66umE
1,12,critical,kate,kate,same,baseline,72umB
1,13,noncritical,kate,kate,same,NA,NA
1,14,noncritical,kate,kate,same,NA,NA
1,15,noncritical,kate,kate,same,NA,NA
1,16,noncritical,kate,kate,same,NA,NA
1,17,noncritical,kate,kate,same,NA,NA
1,18,noncritical,kate,kate,same,NA,NA
1,19,noncritical,mark,kate,diff,NA,NA
1,20,noncritical,mark,kate,diff,NA,NA
1,21,noncritical,mark,kate,diff,NA,NA
1,22,noncritical,mark,kate,diff,NA,NA
1,23,noncritical,mark,kate,diff,NA,NA
1,24,noncritical,mark,kate,diff,NA,NA
2,1,critical,kate,kate,same,filled,6umE
2,2,critical,kate,kate,same,filled,12umE
2,3,critical,kate,kate,same,filled,18umE
2,4,critical,mark,kate,diff,filled,24umE
2,5,critical,mark,kate,diff,filled,30umE
2,6,critical,kate,kate,same,baseline,36umB
2,7,critical,kate,kate,same,baseline,42umB
2,8,critical,kate,kate,same,baseline,48umB
2,9,critical,mark,kate,diff,baseline,54umB
2,10,critical,mark,kate,diff,baseline,60umB
2,11,critical,mark,kate,diff,filled,66umE
2,12,critical,mark,kate,diff,baseline,72umB
2,13,noncritical,kate,kate,same,NA,NA
2,14,noncritical,kate,kate,same,NA,NA
2,15,noncritical,kate,kate,same,NA,NA
2,16,noncritical,kate,kate,same,NA,NA
2,17,noncritical,kate,kate,same,NA,NA
2,18,noncritical,kate,kate,same,NA,NA
2,19,noncritical,mark,kate,diff,NA,NA
2,20,noncritical,mark,kate,diff,NA,NA
2,21,noncritical,mark,kate,diff,NA,NA
2,22,noncritical,mark,kate,diff,NA,NA
2,23,noncritical,mark,kate,diff,NA,NA
2,24,noncritical,mark,kate,diff,NA,NA
3,1,critical,mark,kate,diff,baseline,6umB
3,2,critical,mark,kate,diff,baseline,12umB
3,3,critical,mark,kate,diff,baseline,18umB
3,4,critical,kate,kate,same,baseline,24umB
3,5,critical,kate,kate,same,baseline,30umB
3,6,critical,mark,kate,diff,filled,36umE
3,7,critical,mark,kate,diff,filled,42umE
3,8,critical,mark,kate,diff,filled,48umE
3,9,critical,kate,kate,same,filled,54umE
3,10,critical,kate,kate,same,filled,60umE
3,11,critical,kate,kate,same,baseline,66umB
3,12,critical,kate,kate,same,filled,72umE
3,13,noncritical,kate,kate,same,NA,NA
3,14,noncritical,kate,kate,same,NA,NA
3,15,noncritical,kate,kate,same,NA,NA
3,16,noncritical,kate,kate,same,NA,NA
3,17,noncritical,kate,kate,same,NA,NA
3,18,noncritical,kate,kate,same,NA,NA
3,19,noncritical,mark,kate,diff,NA,NA
3,20,noncritical,mark,kate,diff,NA,NA
3,21,noncritical,mark,kate,diff,NA,NA
3,22,noncritical,mark,kate,diff,NA,NA
3,23,noncritical,mark,kate,diff,NA,NA
3,24,noncritical,mark,kate,diff,NA,NA
4,1,critical,kate,kate,same,baseline,6umB
4,2,critical,kate,kate,same,baseline,12umB
4,3,critical,kate,kate,same,baseline,18umB
4,4,critical,mark,kate,diff,baseline,24umB
4,5,critical,mark,kate,diff,baseline,30umB
4,6,critical,kate,kate,same,filled,36umE
4,7,critical,kate,kate,same,filled,42umE
4,8,critical,kate,kate,same,filled,48umE
4,9,critical,mark,kate,diff,filled,54umE
4,10,critical,mark,kate,diff,filled,60umE
4,11,critical,mark,kate,diff,baseline,66umB
4,12,critical,mark,kate,diff,filled,72umE
4,13,noncritical,kate,kate,same,NA,NA
4,14,noncritical,kate,kate,same,NA,NA
4,15,noncritical,kate,kate,same,NA,NA
4,16,noncritical,kate,kate,same,NA,NA
4,17,noncritical,kate,kate,same,NA,NA
4,18,noncritical,kate,kate,same,NA,NA
4,19,noncritical,mark,kate,diff,NA,NA
4,20,noncritical,mark,kate,diff,NA,NA
4,21,noncritical,mark,kate,diff,NA,NA
4,22,noncritical,mark,kate,diff,NA,NA
4,23,noncritical,mark,kate,diff,NA,NA
4,24,noncritical,mark,kate,diff,NA,NA
